date,Mkt-RF,SMB,HML,RMW,CMA,RF,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,CRSP_SPvw,CRSP_SPvwx,delta_Index
196509,0.0286,0.0062,-0.0013,-0.0089,0.008,0.0031,89.96,2.66,4.98,0.4485374712544864,0.0392,0.0452,0.049100000000000005,0.0433,0.016895389946368976,0.0031,0.0,-0.0034,-0.0015,0.00029910124224625633,0.033366,0.032034,0.03200642422851896
196510,0.026000000000000002,0.0347,0.015600000000000001,0.011699999999999999,-0.006500000000000001,0.0031,92.42,2.68,5.05,0.4344205990716263,0.0403,0.045599999999999995,0.0493,0.0433,0.01746419296943057,0.0031,0.0031645569620253333,0.0027,0.0046,0.00018837912036113934,0.028812,0.027737,0.027345486883059156
196511,-0.0003,0.0519,0.0015,-0.0101,-0.009399999999999999,0.0034999999999999996,91.61,2.7,5.12,0.44089531113012426,0.0409,0.046,0.0495,0.0441,0.020762499843492727,0.0034999999999999996,0.0,-0.0062,-0.0057,0.00014141885326216663,-0.003821,-0.010306,-0.008764336723652955
196512,0.0101,0.026600000000000002,0.0203,-0.011399999999999999,-0.0053,0.0033,92.43,2.72,5.19,0.43063780616140146,0.0438,0.046799999999999994,0.050199999999999995,0.045,0.020837518729631407,0.0033,0.003154574132492094,-0.0078,-0.0149,0.0003013655280646578,0.010349,0.009059,0.00895098788341886
196601,0.0072,0.046799999999999994,0.0356,-0.0282,-0.0011,0.0038,92.88,2.74,5.24,0.4243983284359081,0.045899999999999996,0.047400000000000005,0.0506,0.0457,0.02027862691342897,0.0038,0.0,-0.0104,0.0022,0.00015180444363155273,0.005705,0.004874,0.004868549172346581
196602,-0.0121,0.0471,0.0033,-0.0017000000000000001,-0.0149,0.0034999999999999996,91.22,2.76,5.29,0.4384960447110485,0.04650000000000001,0.0478,0.0512,0.0477,0.020025974238215696,0.0034999999999999996,0.0062893081761006275,-0.025,-0.0113,0.00033706547003400895,-0.01275,-0.017548,-0.017872523686477182
196603,-0.025099999999999997,0.0032,-0.019799999999999998,0.013000000000000001,0.0006,0.0038,89.23,2.78,5.34,0.49017593563805056,0.045899999999999996,0.0492,0.053200000000000004,0.046,0.016788179507743927,0.0038,0.0031250000000000444,0.0296,-0.0059,0.0009310078959741423,-0.023041,-0.024608,-0.021815391361543424
196604,0.021400000000000002,0.0335,-0.0046,0.0039000000000000003,-0.0095,0.0034000000000000002,91.06,2.79667,5.38,0.4854982435095536,0.0462,0.0496,0.0541,0.0467,0.015636251357783175,0.0034000000000000002,0.006230529595015355,-0.0063,0.0013,0.00035126467384596763,0.022158,0.02125,0.020508797489633412
196605,-0.056600000000000004,-0.051,-0.0163,0.016399999999999998,-0.0152,0.0040999999999999995,86.13,2.81333,5.42,0.5127422036716549,0.0464,0.049800000000000004,0.0548,0.0473,0.015945601026339906,0.0040999999999999995,0.0,-0.0059,-0.0026,0.0019354753996564922,-0.04914,-0.054645,-0.05414012738853513
196606,-0.0144,0.0137,0.005,0.0015,0.0078000000000000005,0.0038,84.74,2.83,5.46,0.5209746006206183,0.045,0.0507,0.0558,0.0477,0.01712295594623748,0.0038,0.003095975232198178,-0.0016,0.003,0.0005012069312327924,-0.01438,-0.015904,-0.016138395448740295
196607,-0.0163,-0.0040999999999999995,0.0095,-0.0036,0.0179,0.0034999999999999996,83.6,2.85,5.47667,0.5349430007788714,0.048,0.0516,0.056799999999999996,0.0482,0.018641263639168074,0.0034999999999999996,0.0030864197530864335,-0.0037,-0.0098,0.001013784454286449,-0.012129,-0.013039,-0.013452914798206317
